student_id,department,year_of_study,residence_type,record_date,sleep_hours,study_hours,screen_time_hours,social_media_hours,physical_activity_minutes,class_attendance_hours,break_hours,assignments_due_count,tests_upcoming_count,submission_deadline_proximity,lab_hours,project_work_hours,stress_level,mood_score,fatigue_level,motivation_score,sleep_deficit,workload_index,distraction_ratio,recovery_balance,deadline_pressure_score,sleep_deficit_scaled,workload_index_scaled,distraction_ratio_scaled,recovery_balance_scaled,deadline_pressure_scaled,attendance_scaled,motivation_scaled,fatigue_scaled,stress_scaled,mood_scaled,productivity_score,burnout_risk_score,burnout_category,burnout_level_detailed,primary_trigger,suggested_action,academic_performance_index
1001,ECE,1,Day Scholar,2025-01-01,7.1,4.3,7.3,4.6,25,3.1,3.1,0,2,6,2.3,1.4,7.0,3.0,6,4,0.9,5.92,0.63,4.3,4,18.000000000000007,29.76793811683116,63.013698630136986,69.34210526315789,25.0,51.66666666666667,33.33333333333333,55.55555555555556,66.66666666666666,22.22222222222222,21.94,30.93,Low,Low,,,18.61
1001,ECE,1,Day Scholar,2025-01-02,5.8,2.7,6.6,1.7,1,5.7,1.6,0,1,6,1.6,1.3,5.0,5.0,8,8,2.2,3.31,0.26,3.22,4,44.00000000000001,15.870898906375036,25.757575757575758,41.18421052631578,25.0,95.0,77.77777777777779,77.77777777777779,44.44444444444444,44.44444444444444,33.18,30.4,Low,Low,,,40.1
1001,ECE,1,Day Scholar,2025-01-03,5.2,4.2,4.9,2.8,25,4.1,0.8,2,4,4,2.6,0.8,8.0,3.0,9,6,2.8,12.81,0.57,2.88,7,55.99999999999999,66.55108028807682,57.14285714285714,32.236842105263165,62.5,68.33333333333333,55.55555555555556,88.88888888888889,77.77777777777779,22.22222222222222,18.08,57.08,Moderate,Elevated,Fatigue,Recommend temporary workload reduction,19.93
1001,ECE,1,Day Scholar,2025-04-01,6.5,2.5,6.3,3.5,47,3.439635252554188,2.4,0,0,11,0.0,3.1,5.0,6.0,6,9,1.5,1.37,0.56,3.96,2,30.0,5.521472392638039,55.55555555555556,60.6578947368421,0.0,57.327254209236465,88.88888888888889,55.55555555555556,44.44444444444444,55.55555555555556,30.76,20.58,Low,Low,,,35.26
1001,ECE,1,Day Scholar,2025-01-05,7.6,5.0,3.9,2.7,49,4.7,3.0,1,0,0,1.8,2.0,6.0,6.0,6,4,0.4,3.67,0.69,4.65,10,8.000000000000007,17.791411042944787,69.23076923076924,78.55263157894738,100.0,78.33333333333333,33.33333333333333,55.55555555555556,55.55555555555556,55.55555555555556,30.28,30.68,Low,Low,,,28.22
1001,ECE,1,Day Scholar,2025-06-01,7.0,7.2,5.0,1.8,19,4.9,2.1,1,2,5,1.2,2.6,9.0,5.0,6,8,1.0,8.36,0.36,4.01,7,20.0,42.811416377700716,36.0,61.9736842105263,62.5,81.66666666666667,77.77777777777779,55.55555555555556,88.88888888888889,44.44444444444444,41.4,38.87,Low,Low,,,41.02
1001,ECE,1,Day Scholar,2025-01-07,3.0,5.1,5.2,2.5,39,3.3,2.0,1,2,1,0.0,0.0,8.0,5.0,10,10,5.0,7.03,0.48,2.09,10,100.0,35.71619098426247,48.07692307692307,11.447368421052621,100.0,54.99999999999999,100.0,100.0,77.77777777777779,44.44444444444444,23.72,64.98,Moderate,Elevated,Sleep Deficit,Recommend sleep recovery support,25.55
1001,ECE,1,Day Scholar,2025-01-08,6.9,4.4,3.7,3.7,45,4.7,1.1,1,1,9,0.5,1.3,7.0,7.0,5,5,1.1,5.16,1.0,3.9,4,21.999999999999993,25.71352360629502,100.0,58.81578947368422,25.0,78.33333333333333,44.44444444444444,44.44444444444444,66.66666666666666,66.66666666666666,26.31,30.76,Low,Low,,,30.16
1001,ECE,1,Day Scholar,2025-01-09,5.1,5.4,4.2,4.2,14,3.0,2.5,2,0,10,0.3,2.2,8.0,6.0,6,4,2.9,5.11,1.0,3.12,4,58.00000000000001,25.446785809549223,100.0,38.42105263157894,25.0,50.0,33.33333333333333,55.55555555555556,77.77777777777779,55.55555555555556,16.33,43.02,Moderate,Moderate,,,15.02
1001,ECE,1,Day Scholar,2025-01-10,6.9,5.0,6.7,2.0,34,3.9,1.2,0,0,11,3.4,2.4,4.0,8.0,7,6,1.1,2.49,0.3,3.86,2,21.999999999999993,11.496399039743931,29.850746268656714,57.89473684210527,0.0,65.0,55.55555555555556,66.66666666666666,33.33333333333333,77.77777777777779,30.99,16.78,Low,Very Low,,,29.86
1001,ECE,1,Day Scholar,2025-01-11,8.0,3.0,7.9,3.3,46,6.0,1.6,0,0,8,0.7,1.8,6.0,7.0,5,9,0.0,1.36,0.42,4.55,4,0.0,5.494798612963458,41.77215189873417,76.05263157894738,25.0,100.0,88.88888888888889,44.44444444444444,55.55555555555556,66.66666666666666,44.74,15.53,Low,Very Low,,,52.44
