student_id,department,year_of_study,residence_type,record_date,sleep_hours,study_hours,screen_time_hours,social_media_hours,physical_activity_minutes,class_attendance_hours,break_hours,assignments_due_count,tests_upcoming_count,submission_deadline_proximity,lab_hours,project_work_hours,stress_level,mood_score,fatigue_level,motivation_score
1001,ECE,1,Day Scholar,2025-01-01,7.1,4.3,7.3,4.6,25,3.1,3.1,0,2,6,2.3,1.4,7,3.0,6,4
1001,ECE,1,Day Scholar,02-01-2025,5.8,2.7,6.6,1.7,1,5.7,1.6,0,1,6,1.6,1.3,5,5.0,8,8
1001,ECE,1,Day Scholar,2025-01-03,5.2,4.2,4.9,2.8,25,4.1,0.8,2,4,4,2.6,0.8,8,3.0,9,6
1001,ECE,1,Day Scholar,04/01/2025,,2.5,6.3,3.5,47,,2.4,0,0,11,0.0,3.1,5,,6,9
1001,ECE,1,Day Scholar,05-01-2025,7.6,5.0,3.9,2.7,49,4.7,3.0,1,0,0,1.8,2.0,6,6.0,6,4
1001,ECE,1,Day Scholar,06/01/2025,7.0,7.2,5.0,1.8,19,4.9,2.1,1,2,5,1.2,2.6,9,5.0,6,8
1001,ECE,1,Day Scholar,01/07/2025,3.0,5.1,5.2,2.5,39,3.3,2.0,1,2,1,0.0,0.0,8,5.0,10,10
1001,ECE,1,Day Scholar,01/08/2025,6.9,4.4,3.7,3.7,45,4.7,1.1,1,1,9,0.5,1.3,7,7.0,5,5
1001,ECE,1,Day Scholar,2025-01-09,5.1,5.4,4.2,4.2,14,3.0,2.5,2,0,10,0.3,2.2,8,6.0,6,4
1001,ECE,1,Day Scholar,01/10/2025,6.9,5.0,6.7,2.0,34,3.9,1.2,0,0,11,3.4,2.4,4,8.0,7,6
1001,ECE,1,Day Scholar,01/11/2025,8.0,3.0,7.9,3.3,46,6.0,1.6,0,0,8,0.7,1.8,6,7.0,5,9
1001,ECE,1,Day Scholar,12/01/2025,8.4,4.0,11.4,3.6,12,1.9,2.2,4,1,10,1.0,2.8,10,4.0,4,4
1001,ECE,1,Day Scholar,13/01/2025,7.4,4.7,7.3,4.9,34,2.3,2.6,3,0,5,1.6,2.5,8,7.0,6,10
1001,ECE,1,Day Scholar,01/14/2025,8.0,6.2,7.3,2.4,45,2.3,1.6,1,1,11,2.2,0.1,7,4.0,7,7
1001,ECE,1,Day Scholar,15-01-2025,,5.7,4.5,3.1,30,,3.5,3,1,8,2.1,1.0,9,,8,7
1001,ECE,1,Day Scholar,16/01/2025,6.1,3.6,4.7,4.7,38,1.6,2.5,3,0,3,0.8,0.5,7,4.0,9,6
1001,ECE,1,Day Scholar,17/01/2025,4.8,4.3,2.0,1.2,60,5.5,1.7,2,1,10,1.0,2.1,7,6.0,8,7
1001,ECE,1,Day Scholar,18-01-2025,7.4,7.4,3.5,3.5,0,3.3,2.3,2,0,10,1.8,1.2,8,6.0,6,6
1001,ECE,1,Day Scholar,01/19/2025,7.0,3.3,7.8,3.2,46,4.4,1.1,3,0,9,0.9,1.2,9,4.0,8,6
1001,ECE,1,Day Scholar,2025-01-20,6.8,9.5,7.9,2.2,48,0.5,2.5,0,1,6,1.8,1.8,3,9.0,7,5
1001,ECE,1,Day Scholar,01/21/2025,5.2,2.3,8.3,3.7,42,4.4,1.8,0,1,4,0.6,1.6,7,5.0,8,9
1001,ECE,1,Day Scholar,22/01/2025,6.8,5.5,7.7,4.2,20,2.5,2.9,0,1,3,2.4,1.7,7,6.0,5,6
1001,ECE,1,Day Scholar,01/23/2025,6.9,3.0,7.0,4.6,27,4.1,2.4,0,1,12,1.1,2.0,8,9.0,6,7
1001,ECE,1,Day Scholar,24/01/2025,7.0,3.7,9.7,4.2,66,3.3,2.6,1,0,7,0.0,1.3,5,10.0,6,8
1001,ECE,1,Day Scholar,25-01-2025,7.7,3.5,4.2,3.4,3,6.0,2.7,1,1,7,1.0,1.8,9,5.0,3,6
1001,ECE,1,Day Scholar,26/01/2025,6.6,3.7,7.2,1.5,27,3.7,2.2,0,1,8,0.7,1.6,7,8.0,9,7
1001,ECE,1,Day Scholar,27-01-2025,6.7,6.6,8.1,3.0,9,3.1,3.0,0,0,12,2.4,0.0,9,5.0,8,6
1001,ECE,1,Day Scholar,2025-01-28,3.7,3.6,8.7,4.0,36,3.5,2.4,0,2,10,2.6,0.3,7,6.0,9,5
1001,ECE,1,Day Scholar,01/29/2025,7.5,4.0,10.1,2.4,21,2.8,1.1,0,0,4,0.9,0.3,6,6.0,6,3
1001,ECE,1,Day Scholar,30-01-2025,6.6,5.4,8.4,3.8,17,2.4,2.3,0,0,1,3.9,1.6,5,6.0,4,8
1001,ECE,1,Day Scholar,01/31/2025,6.5,6.2,4.1,2.9,60,0.0,1.2,1,0,10,0.6,1.2,5,7.0,9,8
1001,ECE,1,Day Scholar,01-02-2025,8.4,4.6,4.3,4.3,40,1.9,1.6,1,1,3,0.1,2.5,6,,4,6
1001,ECE,1,Day Scholar,2025-02-02,6.6,3.0,6.5,2.7,25,2.1,1.3,0,2,2,2.3,0.1,8,5.0,5,7
1001,ECE,1,Day Scholar,03-02-2025,,1.6,6.1,3.1,11,,0.5,0,1,0,1.4,1.5,5,,9,9
